Data__|;Data__|__Id;Data__|__CoinName;Data__|__Name;Data__|__Symbol;;Data__|__FullName;Data__|__Algorithm;Data__|__ProofType;Data__|__FullyPremined;Data__|__TotalCoinSupply;Data__|__PreMinedValue;Data__|__TotalCoinsFreeFloat;Data__|__SortOrder;Data__|__Sponsored;Type
BTC;1182;Bitcoin;BTC;BTC;;Bitcoin (BTC);SHA256;PoW;0;21000000;N/A;N/A;1;False;
ETH;7605;Ethereum ;ETH;ETH;;Ethereum  (ETH);Ethash;PoW;0;0;N/A;N/A;2;False;
LTC;3808;Litecoin;LTC;LTC;;Litecoin (LTC);Scrypt;PoW;0;84000000;N/A;N/A;3;False;
DASH;3807;DigitalCash;DASH;DASH;;DigitalCash (DASH);X11;PoW/PoS;0;22000000;N/A;N/A;4;False;
XMR;5038;Monero;XMR;XMR;;Monero (XMR);CryptoNight;PoW;0;0;N/A;N/A;5;False;
ZEC;24854;ZCash;ZEC;ZEC;;ZCash (ZEC);Equihash;PoW;0;21000000;N/A;N/A;9;False;
BTCD;4400;BitcoinDark;BTCD;BTCD;;BitcoinDark (BTCD);SHA256;PoW/PoS;0;22000000;N/A;N/A;13;False;
PPC;2349;PeerCoin;PPC;PPC;;PeerCoin (PPC);N/A;N/A;0;0;N/A;N/A;14;False;
CRAIG;4425;CraigsCoin;CRAIG;CRAIG;;CraigsCoin (CRAIG);X11;PoS;0;30000000;N/A;N/A;15;False;
XBS;5023;Bitstake;XBS;XBS;;Bitstake (XBS);X11;PoW/PoS;0;1300000;N/A;N/A;16;False;
XPY;5030;PayCoin;XPY;XPY;;PayCoin (XPY);SHA256;PoS;0;12500000;N/A;N/A;17;False;
PRC;3638;ProsperCoin;PRC;PRC;;ProsperCoin (PRC);Scrypt;PoW;0;21000000;N/A;N/A;18;False;
YBC;3639;YbCoin;YBC;YBC;;YbCoin (YBC);Multiple;N/A;0;200000000;N/A;N/A;19;False;
DANK;3640;DarkKush;DANK;DANK;;DarkKush (DANK);X13;PoW/PoS;0;3000000;N/A;N/A;20;False;
DT;3643;DarkToken;DT;DT;;DarkToken (DT);NIST5;PoW/PoS;0;0;N/A;N/A;23;False;
CETI;3644;CETUS Coin;CETI;CETI;;CETUS Coin (CETI);Scrypt;PoW/PoS;0;0;N/A;N/A;24;False;
SUP;3645;Supcoin;SUP;SUP;;Supcoin (SUP);N/A;PoW;0;0;N/A;N/A;25;False;
XPD;3646;PetroDollar;XPD;XPD;;PetroDollar (XPD);SHA256D;N/A;0;122107462;N/A;N/A;26;False;
CHASH;3648;CleverHash;CHASH;CHASH;;CleverHash (CHASH);N/A;N/A;0;0;N/A;N/A;28;False;
SPR;3649;Spreadcoin;SPR;SPR;;Spreadcoin (SPR);X11;PoW;0;20000000;N/A;N/A;29;False;
WOLF;3653;Insanity Coin;WOLF;WOLF;;Insanity Coin (WOLF);X11;PoW;0;50000000;N/A;N/A;31;False;
XDP;3655;DogeParty;XDP;XDP;;DogeParty (XDP);N/A;N/A;0;0;N/A;N/A;32;False;
2015;3744;2015 coin;2015;2015;;2015 coin (2015);X11;PoW/PoS;0;0;N/A;N/A;33;False;
42;4321;42 Coin;42;42;;42 Coin (42);Scrypt;PoW/PoS;0;42;N/A;N/A;34;False;
ACOIN;4323;ACoin;ACOIN;ACOIN;;ACoin (ACOIN);SHA256;PoW;0;1600000;N/A;N/A;36;False;
AERO;4324;Aero Coin;AERO;AERO;;Aero Coin (AERO);X13;PoS;0;7000000;N/A;N/A;37;False;
AGS;4326;Aegis;AGS;AGS;;Aegis (AGS);X13;PoS;0;0;N/A;N/A;39;False;
AMC;4327;AmericanCoin;AMC;AMC;;AmericanCoin (AMC);Scrypt;PoW;0;168000000;N/A;N/A;40;False;
ALN;4328;AlienCoin;ALN;ALN;;AlienCoin (ALN);Scrypt;PoW;0;200000000;N/A;N/A;41;False;
ANNC;4329;AnonCoin;ANNC;ANNC;;AnonCoin (ANNC);Scrypt;PoW;0;4200000;N/A;N/A;42;False;
